Date,close,volume,high,low,daily_return,30d_ma
2021-06-11,1260.2103271484375,6140828,1264.3038560059608,1245.0117908720927,,
2021-06-14,1273.1876220703125,7132294,1286.4263613244386,1265.9149167591186,0.010298,
2021-06-15,1283.726318359375,5403104,1285.5553392447312,1274.2326973679144,0.008277,
2021-06-16,1289.5618896484375,7661710,1297.2699751733123,1278.1521709198764,0.004546,
2021-06-17,1302.365234375,7677951,1308.7668610479423,1284.7715259128947,0.009928,
2021-06-18,1309.3328857421875,13533974,1320.2200410273454,1295.4844029554913,0.00535,
2021-06-21,1306.7200927734375,5454052,1311.5104415545813,1292.6973503763622,-0.001996,
2021-06-22,1316.77978515625,6427862,1325.141100097342,1308.2878030729764,0.007698,
2021-06-23,1309.2022705078125,5529809,1328.2329974366169,1305.2828944498028,-0.005755,
2021-06-24,1358.0201416015625,10785137,1366.3379706600645,1316.213465845908,0.037288,
2021-06-25,1371.0848388671875,9780240,1374.3945768272977,1343.9105399521675,0.00962,
2021-06-28,1368.9947509765625,5019178,1376.267350793857,1359.2397942372882,-0.001524,
2021-06-29,1361.3734130859375,5913567,1370.6056989957037,1358.020084386749,-0.005567,
2021-06-30,1376.8333740234375,6058722,1385.7172510180376,1369.2123646290893,0.011356,
2021-07-01,1359.0655517578125,4814317,1373.3930072922922,1357.8897601108913,-0.012905,
2021-07-02,1365.5107421875,5166064,1366.9477617714929,1343.562171167975,0.004742,
2021-07-05,1375.2220458984375,4058338,1380.491472279574,1359.6317225292362,0.007112,
2021-07-06,1360.63330078125,4089574,1382.015719815571,1356.1913619563304,-0.010608,
2021-07-07,1362.723388671875,4797120,1367.905738216782,1345.347531910408,0.001536,
2021-07-08,1359.370361328125,3326813,1372.6526922653372,1349.1364342125682,-0.002461,
2021-07-09,1361.242919921875,3436594,1367.3397273251671,1350.8783260723017,0.001378,
2021-07-12,1348.1346435546875,4588982,1374.3944833697385,1335.8539536554729,-0.00963,
2021-07-13,1345.609130859375,4456160,1355.5818313290629,1338.0753026172606,-0.001873,
2021-07-14,1373.436767578125,5657716,1378.5755273818056,1339.6429868568807,0.02068,
2021-07-15,1376.8333740234375,10021355,1390.812418891996,1355.2332134406452,0.002473,
2021-07-16,1354.754150390625,6265593,1371.4768864021955,1349.6589824626813,-0.016036,
2021-07-19,1342.7784423828125,5669162,1352.533399494465,1339.1639910747317,-0.00884,
2021-07-20,1350.0511474609375,5069939,1356.7140029248317,1339.5558848985,0.005416,
2021-07-22,1385.0206298828125,7854575,1387.3287286099348,1359.9366819998504,0.025902,
2021-07-23,1385.2384033203125,4179719,1392.2497756537243,1380.5352360843801,0.000157,1343.1
2021-07-26,1396.952880859375,4586710,1403.7029180573702,1388.4173074229864,0.008457,1347.66
2021-07-27,1395.777099609375,5892859,1401.6561643095713,1391.7270559963727,-0.000842,1351.74
2021-07-28,1398.4334716796875,4686788,1400.1754167381625,1380.9269451059924,0.001903,1355.57
2021-07-29,1408.362548828125,4660873,1410.9754663584183,1393.643092143495,0.0071,1359.53
2021-07-30,1402.7010498046875,6234257,1413.9366150254957,1398.9123411297298,-0.00402,1362.87
2021-08-02,1421.03515625,5553389,1423.8222255873973,1410.2785613387637,0.013071,1366.6
2021-08-03,1441.6334228515625,5513668,1444.638341316973,1424.5623856806412,0.014495,1371.09
2021-08-04,1436.451416015625,6740391,1463.146744783546,1427.5675389174712,-0.003595,1375.08
2021-08-05,1440.196533203125,5420536,1451.0400976473882,1434.5352122939364,0.002607,1379.45
2021-08-06,1437.2789306640625,3754855,1446.3806580542653,1431.8789431145817,-0.002026,1382.09
2021-08-09,1448.6885986328125,5018477,1452.3030494440573,1433.9691421507919,0.007938,1384.68
2021-08-10,1460.8387451171875,6846517,1463.2339196881055,1446.7290319910098,0.008387,1387.74
2021-08-11,1461.0999755859375,4899639,1466.7177057432823,1452.7821455937024,0.000179,1391.06
2021-08-12,1471.59521484375,5659579,1477.6049467665491,1458.0080641834384,0.007183,1394.22
2021-08-13,1491.279052734375,5612790,1500.2501118966013,1473.0758127751071,0.013376,1398.63
2021-08-16,1484.4854736328125,4564109,1498.0290315167445,1472.0305249977998,-0.004556,1402.6
2021-08-17,1516.9293212890625,9510390,1523.2438721030503,1468.9387563667328,0.021855,1407.32
2021-08-18,1509.7872314453125,6686090,1528.9922175200145,1504.1695013711565,-0.004708,1412.29
2021-08-20,1509.3515625,6206972,1519.846822339808,1494.6756989751916,-0.000289,1417.18
2021-08-23,1514.4033203125,6189051,1526.9453446318312,1508.524256380302,0.003347,1422.35
2021-08-24,1498.81298828125,7602939,1530.298665061431,1491.7145412231635,-0.010295,1426.93
2021-08-25,1511.6162109375,6153253,1521.5017265416352,1496.3306025914594,0.008542,1432.38
2021-08-26,1504.7791748046875,5302248,1520.7180143906892,1498.0727289530273,-0.004523,1437.69
2021-08-27,1488.3179931640625,6698514,1504.7792899357576,1485.1824068076487,-0.010939,1441.52
2021-08-30,1478.9549560546875,6559667,1496.8969690174113,1472.2919948958422,-0.006291,1444.92
2021-08-31,1486.27099609375,12255438,1493.7178535768544,1468.3289836646177,0.004947,1449.3
2021-09-01,1461.2740478515625,7801974,1488.927423514973,1457.267595791076,-0.016819,1453.25
2021-09-02,1471.1595458984375,6830050,1475.688666436114,1448.122367094647,0.006765,1457.29
2021-09-03,1481.21923828125,5339139,1485.835328224775,1467.0659367338824,0.006838,1460.5
2021-09-06,1507.1307373046875,4876026,1508.5242719501346,1480.0870004095007,0.017493,1464.56
2021-09-07,1486.4453125,3520341,1511.0502868517522,1484.137213995946,-0.013725,1467.54
2021-09-08,1474.7742919921875,4584896,1481.3936622056285,1465.8032320672012,-0.007852,1470.18
2021-09-09,1473.3370361328125,3331674,1476.2112878647204,1465.1063886676236,-0.000975,1472.67
2021-09-13,1473.5985107421875,4662374,1481.9598261405356,1459.0532050480786,0.000177,1474.85
2021-09-14,1468.59033203125,4945167,1477.1257989130531,1462.0144469944478,-0.003399,1477.04
2021-09-15,1490.6259765625,4062344,1493.8050477371864,1472.1178092741352,0.015005,1479.36
2021-09-16,1482.613037109375,3246568,1497.4195705979105,1473.2064909534074,-0.005376,1480.73
2021-09-17,1473.075927734375,7454864,1496.3308524712506,1467.1096806648243,-0.006433,1481.95
2021-09-20,1470.0709228515625,5660743,1487.3597058300793,1461.4482737789863,-0.00204,1482.95
2021-09-21,1496.7225341796875,4672222,1503.951647897765,1467.2837297515794,0.018129,1484.93
2021-09-22,1495.3729248046875,4553892,1514.5343226018194,1492.0197014541698,-0.000902,1486.48
2021-09-23,1517.713134765625,3826090,1519.8469748097546,1499.0307113119939,0.01494,1488.38
2021-09-24,1536.264892578125,8280446,1557.2989006716446,1526.3357843635558,0.012223,1490.89
2021-09-27,1499.0743408203125,5045337,1540.750353714178,1496.4178321652648,-0.024208,1491.8
2021-09-28,1469.4176025390625,6557197,1489.3628929542976,1458.8788571335956,-0.019783,1491.07
2021-09-29,1473.9033203125,7792548,1481.8727405310417,1441.4595923280765,0.003053,1490.72
2021-09-30,1459.05322265625,6914031,1483.2663028944044,1454.6112837647613,-0.010075,1488.79
2021-10-01,1450.2999267578125,5733906,1462.3192838563787,1446.9031126334762,-0.005999,1486.81
2021-10-04,1462.1451416015625,2947154,1470.2016375418839,1450.517679535455,0.008167,1485.23
2021-10-05,1474.38232421875,4373310,1483.2226102398492,1448.4273005977032,0.008369,1483.9
2021-10-06,1457.6160888671875,4271698,1488.492021865943,1454.524093924005,-0.011372,1482.53
2021-10-07,1472.8145751953125,5476108,1484.3113702738483,1460.3161404249604,0.010427,1481.23
2021-10-08,1501.426025390625,4738376,1508.0889867346034,1479.2598162798897,0.019426,1481.12
2021-10-11,1472.770751953125,8840633,1506.7822670405744,1449.0367538162143,-0.019085,1480.6
