Date,close,volume,high,low,daily_return,30d_ma
2021-06-11,2853.311279296875,3452954,2883.9901284053785,2798.577305019544,,
2021-06-14,2855.533935546875,1847360,2883.7287565429338,2850.3045787618544,0.000779,
2021-06-15,2843.6806640625,1304985,2874.4031354158683,2833.919240543718,-0.004151,
2021-06-16,2853.791015625,1635552,2871.527124287829,2835.1831346541367,0.003555,
2021-06-17,2891.6162109375,2273413,2907.5657905780254,2841.2836553858037,0.013254,
2021-06-18,2873.79248046875,3380431,2926.6960866493737,2854.356665806045,-0.006164,
2021-06-21,2852.701416015625,1130569,2863.9444481822334,2834.0499154939534,-0.007339,
2021-06-22,2877.19189453125,1708688,2899.7217904931717,2863.072674583069,0.008585,
2021-06-23,2842.504150390625,1467104,2901.4216594077234,2838.146352764599,-0.012056,
2021-06-24,2940.29345703125,4155204,2948.4860318943056,2857.408056625918,0.034403,
2021-06-25,2946.568603515625,2722861,2962.997373554617,2919.7245265063507,0.002134,
2021-06-28,2908.176025390625,1355238,2955.893905780267,2904.9076774187315,-0.01303,
2021-06-29,2911.749755859375,1497322,2933.93090345511,2899.242791426443,0.001229,
2021-06-30,2916.02001953125,1693146,2947.6140494820856,2909.7012135410832,0.001467,
2021-07-01,2912.316162109375,990310,2930.1831324290642,2904.3414775433343,-0.00127,
2021-07-02,2898.3271484375,1682274,2910.7468698200696,2871.962476730642,-0.004803,
2021-07-05,2894.44873046875,1972858,2940.6413780793623,2877.8891020800397,-0.001338,
2021-07-06,2843.28857421875,2159420,2900.5499903048712,2837.8849479232354,-0.017675,
2021-07-07,2854.31396484375,2640710,2861.068551496173,2825.2475809189878,0.003878,
2021-07-08,2839.9765625,2485811,2874.403161922664,2816.7929952439126,-0.005023,
2021-07-09,2796.093505859375,6365067,2860.4582596113323,2789.8619405898457,-0.015452,
2021-07-12,2782.976318359375,1892226,2820.366130338717,2778.8364113386365,-0.004691,
2021-07-13,2778.138916015625,1809339,2801.1916171659377,2767.2008041387217,-0.001738,
2021-07-14,2801.671630859375,2044279,2808.164706572145,2775.9170051000256,0.008471,
2021-07-15,2797.653076171875,2232968,2822.8962379278832,2789.8356394934085,-0.001434,
2021-07-16,2790.53564453125,1256526,2812.4159040416293,2788.0899089791374,-0.002544,
2021-07-19,2781.625244140625,1597058,2794.9018146966923,2774.113390843784,-0.003193,
2021-07-20,2800.142578125,1811945,2808.1783802962723,2756.775091986286,0.006657,
2021-07-22,2809.357666015625,2859334,2816.8693061254307,2786.3418727707326,0.003291,
2021-07-23,2806.300537109375,1776193,2831.368836575758,2800.8849058453,-0.001088,2851.8
2021-07-26,2792.93701171875,1259611,2816.2583923696466,2787.0848620044726,-0.004762,2849.79
2021-07-27,2780.1845703125,1121367,2803.8117493545283,2761.143064692313,-0.004566,2847.28
2021-07-28,2793.15576171875,1660654,2798.964196506009,2736.0312407415786,0.004666,2845.59
2021-07-29,2791.408447265625,1731997,2817.3064967675937,2786.604408769665,-0.000626,2843.52
2021-07-30,2766.6455078125,2999943,2815.603066161806,2762.1909822360863,-0.008871,2839.35
2021-08-02,2812.021728515625,2608669,2816.825766527671,2766.25243348165,0.016401,2837.29
2021-08-03,2869.234130859375,3804735,2873.688870638687,2811.6293768466753,0.020346,2837.84
2021-08-04,2859.6689453125,2929598,2886.96461441979,2848.5323123167254,-0.003334,2837.26
2021-08-05,2868.404052734375,2534521,2895.5250768731294,2849.668344886451,0.003055,2838.12
2021-08-06,2890.983154296875,2292362,2903.3862659725373,2851.852033213097,0.007872,2836.48
2021-08-09,2902.250244140625,1510489,2914.7407852103993,2891.157326654606,0.003897,2835.0
2021-08-10,2912.033935546875,2040777,2926.0093230310626,2896.049756709827,0.003371,2835.13
2021-08-11,2921.02978515625,1929707,2934.8305189364487,2906.093722070834,0.003089,2835.44
2021-08-12,2927.624755859375,1310205,2941.818506074252,2905.1331209034925,0.002258,2835.82
2021-08-13,3025.146484375,4363584,3039.646030624656,2932.646996500656,0.033311,2839.59
2021-08-16,3033.488037109375,2083489,3052.180240931902,3001.6504084686876,0.002757,2844.09
2021-08-17,3103.45263671875,4336019,3110.2219638050665,3024.7973806340597,0.023064,2851.06
2021-08-18,3110.003662109375,2631309,3140.094370801781,3089.084299979811,0.002111,2859.95
2021-08-20,3109.086181640625,2836148,3122.6248347703986,3057.1152228521387,-0.000295,2868.44
2021-08-23,3177.12890625,3744176,3208.2242222354967,3111.182560271568,0.021885,2879.68
2021-08-24,3155.9912109375,2511141,3203.289281535624,3139.5700912462094,-0.006653,2891.68
2021-08-25,3195.99560546875,2123263,3229.842238349842,3150.619323520232,0.012676,2905.44
2021-08-26,3207.2197265625,1902533,3220.976745326856,3186.3001528276395,0.003512,2919.75
2021-08-27,3249.40771484375,3944728,3257.574665170031,3189.095368849665,0.013154,2934.67
2021-08-30,3232.943359375,2033114,3267.052076414065,3220.9769784870473,-0.005067,2949.18
2021-08-31,3307.318359375,3207480,3322.7350832895377,3234.821052565711,0.023005,2966.41
2021-09-01,3244.86572265625,2643336,3333.740429346746,3237.9217464537523,-0.018883,2981.85
2021-09-02,3351.2529296875,3403717,3370.818379183612,3251.023236931485,0.032786,3000.22
2021-09-03,3355.8828125,1746812,3368.8535878797816,3323.1280061155453,0.001382,3018.44
2021-09-06,3364.574462890625,1723693,3386.9351676730043,3331.382918344975,0.00259,3037.04
2021-09-07,3333.041748046875,1585039,3380.2523861240065,3326.359852679405,-0.009372,3055.05
2021-09-08,3296.57421875,4147175,3332.2552018194287,3280.720979825367,-0.010941,3072.26
2021-09-09,3311.641845703125,1441148,3326.752772302166,3288.5825474027815,0.004571,3089.54
2021-09-13,3358.765380859375,1691473,3364.9231140500738,3290.3295846609585,0.01423,3108.46
2021-09-14,3394.1845703125,1991188,3403.4433491829873,3340.990840658264,0.010545,3129.37
2021-09-15,3454.1474609375,2461369,3476.377015029846,3376.802397011403,0.017666,3150.78
2021-09-16,3409.382080078125,2946666,3477.9050873700435,3399.599354603407,-0.01296,3168.78
2021-09-17,3343.47998046875,6477148,3445.8059188434067,3323.521298149344,-0.01933,3184.91
2021-09-20,3339.6796875,2002008,3381.1691043056103,3326.0101017882753,-0.001137,3200.62
2021-09-21,3374.138427734375,1568129,3381.650282754764,3338.064421190229,0.010318,3216.72
2021-09-22,3373.439453125,1744067,3403.7487396255815,3364.9669187066097,-0.000207,3232.43
2021-09-23,3379.641357421875,2003869,3388.157608177154,3349.7252970764075,0.001838,3248.02
2021-09-24,3381.43212890625,2320754,3445.2820475843178,3367.1946613591795,0.00053,3263.36
2021-09-27,3351.427734375,1673362,3409.9933649131685,3321.686330538198,-0.008873,3277.49
2021-09-28,3300.94189453125,2253075,3362.8267262073114,3276.572404333812,-0.015064,3286.68
2021-09-29,3312.078857421875,2489161,3324.3947509152617,3251.1549126304035,0.003374,3295.97
2021-09-30,3297.7978515625,2252412,3323.5212519802417,3275.5682974017677,-0.004312,3302.45
2021-10-01,3258.1865234375,1578374,3327.888804029662,3253.6445656195515,-0.012011,3307.39
2021-10-04,3295.83251953125,1356860,3304.8727186534416,3238.3149909855993,0.011554,3313.61
2021-10-05,3348.23974609375,1877966,3354.091895031952,3268.1433755207263,0.015901,3319.32
2021-10-06,3328.673828125,1678154,3369.3334972852485,3314.7858777307024,-0.005844,3325.07
2021-10-07,3400.298583984375,1647233,3405.6267850537693,3336.667034248531,0.021518,3331.88
2021-10-08,3437.638671875,2934339,3485.023958314772,3406.49985465641,0.010981,3339.56
2021-10-11,3219.230224609375,11845402,3282.032029644776,3196.8695218895223,-0.063534,3338.56
2021-10-12,3190.623779296875,5752877,3237.9216320544865,3171.189261812868,-0.008886,3337.15
2021-10-13,3192.67626953125,3545655,3210.3638640053305,3183.7670053345314,0.000643,3333.33
2021-10-14,3160.51513671875,6442299,3211.754477725501,3157.6709399741703,-0.010073,3330.51
2021-10-18,3191.757568359375,3590107,3196.614624095019,3151.76382833439,0.009885,3325.2
2021-10-19,3180.380859375,3135441,3229.344973413171,3172.5484214832622,-0.003564,3319.35
2021-10-20,3158.240234375,2933693,3176.7493081041953,3131.5047394776734,-0.006962,3312.47
2021-10-21,3091.423095703125,4871211,3157.014605986085,3072.826424568322,-0.021156,3304.42
2021-10-22,3061.975341796875,2691670,3116.8902273549793,3049.854600318604,-0.009526,3296.6
2021-10-25,3056.8115234375,2595594,3075.7145791199464,3019.22441010677,-0.001686,3288.1
2021-10-26,3047.754150390625,3878763,3088.3604476916144,3041.1030194753075,-0.002963,3277.73
2021-10-27,3054.0107421875,2510813,3072.826196290812,3048.1035647364606,0.002053,3266.4
2021-10-28,2994.41455078125,2424942,3078.7341458962983,2988.594971073297,-0.019514,3251.07
2021-10-29,2973.498291015625,3960501,3028.8507351056073,2963.17162630388,-0.006985,3236.54
2021-11-01,3042.327880859375,2020718,3051.6044237040865,2986.8004499216345,0.023148,3226.5
2021-11-02,3049.154052734375,3087414,3074.883223579942,3036.5083585161897,0.002244,3216.82
2021-11-03,3056.19873046875,1537639,3080.396195266675,3033.2701722298416,0.00231,3206.22
2021-11-04,3070.551025390625,328991,3074.576743250324,3067.3568590599543,0.004696,3196.12
2021-11-08,3065.38818359375,2526082,3104.988159414924,3046.5289258580847,-0.001681,3185.65
2021-11-09,3067.9697265625,1782692,3093.6113000124587,3059.4809348920953,0.000842,3175.2
2021-11-10,3049.241943359375,1516489,3080.2217285399574,3045.653793782673,-0.006104,3165.13
2021-11-11,3052.65478515625,1284514,3071.776626249125,3006.972647388828,0.001119,3156.85
2021-11-12,3085.7783203125,1747259,3092.8668051695226,3050.4664402070175,0.010851,3149.31
